"","ID","Ptt","HistType","Date","Time.Offset","Count","NumBins","Sum","0-1 m","1-2 m","2-4 m","4-5 m","5-6 m","6-10 m","10-20 m","20-50 m","50-100 m","100-200 m","200-300 m","300-500 m","500-700 m",">700 m"
"125",229423,128155,"TAD",42230.75,28,12,9,100,14,43.9,41.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"126",229424,128155,"TAD",42231,28,9,9,100,10,44.4,44.8,0,0,0,0,0,0,NA,NA,NA,NA,NA
"127",229425,128155,"TAD",42231.25,28,6,9,100,11,65.6,22.5,0,0,0,0,0,0,NA,NA,NA,NA,NA
"128",229426,128155,"TAD",42231.5,28,8,9,100,7,45.7,46.5,0,0,0,0,0,0,NA,NA,NA,NA,NA
"129",229427,128155,"TAD",42231.75,28,12,9,100,11,53.5,35,0,0,0,0,0,0,NA,NA,NA,NA,NA
"130",229428,128155,"TAD",42232,28,9,9,100,9,35,55.5,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"131",229429,128155,"TAD",42232.25,28,11,9,100,9,30.6,53.5,6.3,0,0,0,0,0,NA,NA,NA,NA,NA
"132",229430,128155,"TAD",42232.5,28,11,9,100,19,43.9,26.5,9.3,0.6,0,0,0,0,NA,NA,NA,NA,NA
"133",229431,128155,"TAD",42232.75,28,12,9,100,10,47.2,38.3,4.4,0,0,0,0,0,NA,NA,NA,NA,NA
"134",229432,128155,"TAD",42233,29,9,9,100,9,40,44.8,6.1,0,0,0,0,0,NA,NA,NA,NA,NA
"135",229433,128155,"TAD",42233.25,29,14,9,100,10,21.3,64,4.7,0,0,0,0,0,NA,NA,NA,NA,NA
"136",229434,128155,"TAD",42233.5,29,10,9,100,10,33.6,55.8,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"137",229435,128155,"TAD",42233.75,29,8,9,100,20,64.7,14.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"138",229436,128155,"TAD",42234,29,9,9,100,15,70.9,13.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"139",229437,128155,"TAD",42234.25,29,11,9,100,12,51.7,36,0,0,0,0,0,0,NA,NA,NA,NA,NA
"140",229438,128155,"TAD",42234.5,29,10,9,100,13,62.1,24,0,0,0,0,0,0,NA,NA,NA,NA,NA
"141",229439,128155,"TAD",42234.75,29,15,9,100,16,41.9,38.1,3.1,0,0,0,0,0,NA,NA,NA,NA,NA
"142",229440,128155,"TAD",42235,29,16,9,100,16,31.3,50.8,1.2,0,0,0,0,0,NA,NA,NA,NA,NA
"143",229441,128155,"TAD",42235.25,29,9,9,100,22,33.3,42.2,2.4,0,0,0,0,0,NA,NA,NA,NA,NA
"144",229442,128155,"TAD",42235.5,29,9,9,100,14,73.5,12.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"145",229443,128155,"TAD",42235.75,29,7,9,100,33,64.7,2.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"146",229444,128155,"TAD",42236,29,10,9,100,13,43,42.4,1.1,0,0,0,0,0,NA,NA,NA,NA,NA
"147",229445,128155,"TAD",42236.25,29,9,9,100,12,32.6,55.1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"148",229446,128155,"TAD",42236.5,29,11,9,100,12,38.9,49.1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"149",229447,128155,"TAD",42236.75,29,7,9,100,14,58.1,27.1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"150",229448,128155,"TAD",42237,29,9,9,100,11,39.4,49.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"151",229449,128155,"TAD",42237.25,29,9,9,100,13,20.4,54.4,11.3,0,0,0,0,0,NA,NA,NA,NA,NA
"152",229450,128155,"TAD",42237.5,29,9,9,100,15,50.3,23.3,10.4,0,0,0,0,0,NA,NA,NA,NA,NA
"153",229451,128155,"TAD",42237.75,29,10,9,100,13,64.7,21.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"154",229452,128155,"TAD",42238,29,5,9,100,12,47.1,40.1,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"155",229453,128155,"TAD",42238.25,29,12,9,100,16,44.3,39.1,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"156",229454,128155,"TAD",42238.5,29,9,9,100,29,27.6,35.4,7.2,0,0,0,0,0,NA,NA,NA,NA,NA
"157",229455,128155,"TAD",42238.75,29,15,9,100,12,30.4,55.9,1.4,0,0,0,0,0,NA,NA,NA,NA,NA
"158",229456,128155,"TAD",42239,29,12,9,100,14,49.5,27.5,7.4,0.7,0,0,0,0,NA,NA,NA,NA,NA
"159",229457,128155,"TAD",42239.25,29,7,9,100,12,23.3,51,13.4,0.2,0,0,0,0,NA,NA,NA,NA,NA
"160",229458,128155,"TAD",42239.5,29,17,9,100,9,34.6,55.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"161",229459,128155,"TAD",42239.75,29,19,9,100,6,31.1,61.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"162",229460,128155,"TAD",42240,29,12,9,100,8,22.5,69.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"163",229461,128155,"TAD",42240.25,29,11,9,100,11,35.6,52.3,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"164",229462,128155,"TAD",42240.5,29,4,9,100,9,43.7,47,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"165",229463,128155,"TAD",42240.75,29,5,9,100,8,46,41.6,3.5,0,0,0,0,0,NA,NA,NA,NA,NA
"166",229464,128155,"TAD",42241,29,8,9,100,10,56.5,32.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"167",229465,128155,"TAD",42241.25,29,12,9,100,12,53.9,34,0,0,0,0,0,0,NA,NA,NA,NA,NA
"168",229466,128155,"TAD",42241.5,29,13,9,100,15,62.1,22.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"169",229467,128155,"TAD",42241.75,29,13,9,100,13,51.5,35,0,0,0,0,0,0,NA,NA,NA,NA,NA
"170",229468,128155,"TAD",42242,29,9,9,100,14,37.5,48.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"171",229469,128155,"TAD",42242.25,29,9,9,100,17,35,47.2,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"172",229470,128155,"TAD",42242.5,29,7,9,100,20,71.8,7.8,0,0,0,0,0,0,NA,NA,NA,NA,NA
"173",229471,128155,"TAD",42242.75,29,10,9,100,11,56,32.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"174",229472,128155,"TAD",42243,29,14,9,100,14,50.9,35,0,0,0,0,0,0,NA,NA,NA,NA,NA
"175",229473,128155,"TAD",42243.25,29,17,9,100,13,45.6,41.1,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"176",229474,128155,"TAD",42243.5,29,16,9,100,12,33.1,52.8,2.1,0,0,0,0,0,NA,NA,NA,NA,NA
"177",229475,128155,"TAD",42243.75,29,13,9,100,16,66.9,16.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"178",229476,128155,"TAD",42244,29,15,9,100,11,47.8,40.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"179",229477,128155,"TAD",42244.25,29,7,9,100,20,45.2,33.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"180",229478,128155,"TAD",42244.5,29,10,9,100,27,48.1,24.1,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"181",229479,128155,"TAD",42244.75,29,9,9,100,26,61.9,11.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"182",229480,128155,"TAD",42245,29,11,9,100,11,70.6,18.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"183",229481,128155,"TAD",42245.25,29,12,9,100,13,35.6,51.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"184",229482,128155,"TAD",42245.5,29,8,9,100,9,39.6,50.7,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"185",229483,128155,"TAD",42245.75,29,8,9,100,9,41.3,49.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"186",229484,128155,"TAD",42246,29,12,9,100,6,26.5,67.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"187",229485,128155,"TAD",42246.25,29,10,9,100,6,35.4,58.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"188",229486,128155,"TAD",42246.5,29,9,9,100,8,61.9,29.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"189",229487,128155,"TAD",42246.75,29,16,9,100,7,53.2,39.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"190",229488,128155,"TAD",42247,29,7,9,100,7,26,65.9,0.3,0,0,0,0,0,NA,NA,NA,NA,NA
"191",229489,128155,"TAD",42247.25,29,9,9,100,8,27.3,64.1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"192",229490,128155,"TAD",42247.5,29,9,9,100,10,35.4,53.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"193",229491,128155,"TAD",42247.75,29,16,9,100,8,33.1,58.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"194",229492,128155,"TAD",42248,29,8,9,100,11,25.8,62.5,0,0,0,0,0,0,NA,NA,NA,NA,NA
"195",229493,128155,"TAD",42248.25,29,7,9,100,12,24.4,63.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"196",229494,128155,"TAD",42248.5,29,9,9,100,13,33.1,53.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"197",229495,128155,"TAD",42248.75,29,9,9,100,11,29.9,58.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"198",229496,128155,"TAD",42249,29,8,9,100,11,21.9,66.8,0.3,0,0,0,0,0,NA,NA,NA,NA,NA
"199",229497,128155,"TAD",42249.25,29,16,9,100,14,37,48.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"200",229498,128155,"TAD",42249.5,29,10,9,100,14,74.4,11.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"201",229499,128155,"TAD",42249.75,29,11,9,100,23,62.2,14.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"202",229500,128155,"TAD",42250,29,10,9,100,17,61.9,20.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"203",229501,128155,"TAD",42250.25,29,6,9,100,28,31.7,39.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"204",229502,128155,"TAD",42250.5,29,9,9,100,26,55.3,17.8,0,0,0,0,0,0,NA,NA,NA,NA,NA
"205",229503,128155,"TAD",42250.75,29,13,9,100,11,72.4,15.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"206",229504,128155,"TAD",42251,29,13,9,100,14,37.5,47.5,0.7,0,0,0,0,0,NA,NA,NA,NA,NA
"207",229505,128155,"TAD",42251.25,29,8,9,100,12,18.6,65.6,3.1,0,0,0,0,0,NA,NA,NA,NA,NA
"208",229506,128155,"TAD",42251.5,29,12,9,100,25,38,33.5,2.8,0,0,0,0,0,NA,NA,NA,NA,NA
"209",229507,128155,"TAD",42251.75,29,15,9,100,8,29.2,61.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"210",229508,128155,"TAD",42252,29,13,9,100,13,26.3,59.3,1.4,0,0,0,0,0,NA,NA,NA,NA,NA
"211",229509,128155,"TAD",42252.25,29,11,9,100,11,32.7,44.5,11.7,0,0,0,0,0,NA,NA,NA,NA,NA
